Alphabetical Name,English Name,Scientific Name,Status
"Accentor, Alpine",Alpine Accentor,Prunella collaris,Rare/Accidental
"Accentor, Siberian",Siberian Accentor,Prunella montanella,Rare/Accidental
"Auk, Great",Great Auk,Pinguinus impennis,Rare/Accidental Extinct
"Avocet, Pied",Pied Avocet,Recurvirostra avosetta,
"Bean-Goose, Taiga",Taiga Bean-Goose,Anser fabalis,
"Bean-Goose, Tundra",Tundra Bean-Goose,Anser serrirostris,
"Bee-eater, Blue-cheeked",Blue-cheeked Bee-eater,Merops persicus,Rare/Accidental
"Bee-eater, European",European Bee-eater,Merops apiaster,Rare/Accidental
"Bittern, Eurasian",Eurasian Bittern,Botaurus stellaris,
"Bittern, Little",Little Bittern,Botaurus minutus,
"Blackbird, Eurasian",Eurasian Blackbird,Turdus merula,
"Blackbird, Yellow-headed",Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare/Accidental
"Blackcap, Eurasian",Eurasian Blackcap,Sylvia atricapilla,
"Bluetail, Red-flanked",Red-flanked Bluetail,Tarsiger cyanurus,Rare/Accidental
Bluethroat,Bluethroat,Luscinia svecica,
Bobolink,Bobolink,Dolichonyx oryzivorus,Rare/Accidental
"Booby, Brown",Brown Booby,Sula leucogaster,Rare/Accidental
Brambling,Brambling,Fringilla montifringilla,
Brant,Brant,Branta bernicla,
Bufflehead,Bufflehead,Bucephala albeola,Rare/Accidental
"Bullfinch, Eurasian",Eurasian Bullfinch,Pyrrhula pyrrhula,
"Bunting, Black-faced",Black-faced Bunting,Emberiza spodocephala,Rare/Accidental
"Bunting, Black-headed",Black-headed Bunting,Emberiza melanocephala,Rare/Accidental
"Bunting, Chestnut",Chestnut Bunting,Emberiza rutila,Rare/Accidental
"Bunting, Cirl",Cirl Bunting,Emberiza cirlus,Rare/Accidental
"Bunting, Corn",Corn Bunting,Emberiza calandra,
"Bunting, Cretzschmar's",Cretzschmar's Bunting,Emberiza caesia,Rare/Accidental
"Bunting, Gray-necked",Gray-necked Bunting,Emberiza buchanani,Rare/Accidental
"Bunting, Indigo",Indigo Bunting,Passerina cyanea,Rare/Accidental
"Bunting, Little",Little Bunting,Emberiza pusilla,Rare/Accidental
"Bunting, Meadow",Meadow Bunting,Emberiza cioides,Uncertain origin
"Bunting, Ortolan",Ortolan Bunting,Emberiza hortulana,
"Bunting, Pine",Pine Bunting,Emberiza leucocephalos,Rare/Accidental
"Bunting, Red-headed",Red-headed Bunting,Emberiza bruniceps,Uncertain origin
"Bunting, Reed",Reed Bunting,Emberiza schoeniclus,
"Bunting, Rock",Rock Bunting,Emberiza cia,Rare/Accidental
"Bunting, Rustic",Rustic Bunting,Emberiza rustica,Rare/Accidental Vulnerable
"Bunting, Snow",Snow Bunting,Plectrophenax nivalis,
